delivery_id,order_id,driver_id,pickup_time,delivered_time,rating,notes
1,1,1,"2025-01-20 19:45:00","2025-01-20 20:10:00",5,"Friendly customer"
2,2,2,"2025-01-25 13:00:00","2025-01-25 13:25:00",4,"Quick delivery"
3,3,3,"2025-02-10 20:30:00","2025-02-10 21:00:00",5,"Large order, handled well"
4,4,1,"2025-02-14 20:00:00","2025-02-14 20:30:00",4,"Romantic dinner delivery"
5,5,4,"2025-03-05 18:45:00","2025-03-05 19:15:00",5,NULL
6,6,5,"2025-03-15 20:15:00","2025-03-15 20:45:00",4,"Good packaging"
7,8,6,"2025-04-10 18:45:00","2025-04-10 19:15:00",5,"Perfect timing"
8,9,3,"2025-05-12 15:45:00","2025-05-12 16:05:00",5,"Ice cream arrived perfectly cold"
9,10,4,"2025-05-20 17:00:00","2025-05-20 17:20:00",4,"Birthday ice cream delivered"
10,11,1,"2025-06-05 20:30:00","2025-06-05 21:05:00",5,"Family was happy"
11,12,5,"2025-06-18 14:15:00","2025-06-18 14:35:00",5,"Hot day, used thermal bag"
12,13,6,"2025-06-22 17:45:00","2025-06-22 18:05:00",4,"Weekend dessert"
13,14,2,"2025-07-10 20:45:00","2025-07-10 21:20:00",5,"Birthday celebration"
14,15,7,"2025-07-15 16:15:00","2025-07-15 16:35:00",5,"Family loved it"
15,16,8,"2025-07-25 16:00:00","2025-07-25 16:20:00",4,"Quick snack delivery"
16,17,3,"2025-08-05 19:00:00","2025-08-05 19:30:00",4,"Summer evening"
17,18,1,"2025-08-15 19:15:00","2025-08-15 19:35:00",5,"Evening dessert"
18,20,5,"2025-09-03 19:45:00","2025-09-03 20:20:00",4,"Party order"
19,21,6,"2025-09-20 18:30:00","2025-09-20 19:05:00",5,"Well packed"
20,22,2,"2025-09-25 15:30:00","2025-09-25 15:50:00",4,"Afternoon gelato"
21,23,4,"2025-10-12 13:45:00","2025-10-12 14:10:00",3,"Rushed delivery"
22,24,3,"2025-10-25 15:00:00","2025-10-25 15:25:00",3,"Slightly melted"
23,25,1,"2025-11-08 19:15:00","2025-11-08 19:45:00",4,"Weekend dinner"
24,26,2,"2025-11-15 13:00:00","2025-11-15 13:25:00",5,"Lunch delivery"
25,30,4,"2025-12-10 19:45:00","2025-12-10 20:15:00",4,"Good delivery"
26,31,5,"2025-12-12 20:15:00","2025-12-12 20:50:00",5,"Large order delivered well"
27,32,4,"2025-12-15 18:30:00","2025-12-15 18:55:00",5,"Winter ice cream delivery"
28,37,6,"2025-12-26 15:45:00","2025-12-26 16:10:00",4,"Boxing Day treat"
29,38,7,"2025-12-28 17:00:00","2025-12-28 17:25:00",5,"Perfect weekend dessert"
